village_id,state,district_code,latitude,longitude,population,ntl_2019,ntl_2024,ntl_growth_abs,ntl_growth_pct,ndbi_2020,ndbi_2025,ndbi_delta,built_area_ha_2020,built_area_ha_2025,built_growth_pct,ndvi_2019,ndvi_2024,ndvi_trend,road_connected,road_type,dist_to_town_km,antyodaya_score,has_telecom_tower,growth_tier_label
UT240010,Uttar Pradesh,24,29.59082,80.47648,805,0.4713,0.9045,0.4332,75.84,0.1048,0.1144,0.0097,100.9,105.1,4.13,0.3299,0.3384,0.0017,0,2,41.7,85.5,1,low
UT270011,Uttar Pradesh,27,28.53356,82.16907,2022,9.2648,11.5573,2.2925,24.48,0.1129,0.2596,0.1467,68.1,164.8,139.78,0.6161,0.7735,0.03148,1,2,14.2,22.0,1,high
UT170012,Uttar Pradesh,17,24.44094,79.28732,1829,3.2764,3.6748,0.3985,11.8,0.1262,0.17,0.0438,138.2,162.2,17.22,0.3918,0.515,0.02465,1,1,26.8,41.9,1,medium
UT260013,Uttar Pradesh,26,26.87494,79.37084,808,0.6966,0.7245,0.0279,3.5,-0.1157,-0.0998,0.0159,44.9,55.8,23.77,0.5883,0.6039,0.00313,1,2,36.7,85.9,0,low
UT080014,Uttar Pradesh,8,26.01735,80.45967,1387,0.8316,0.969,0.1373,14.74,0.0285,0.0412,0.0127,125.8,133.7,6.26,0.273,0.1884,-0.01692,1,1,39.0,92.1,1,low
UT090015,Uttar Pradesh,9,27.86605,81.68619,534,1.177,1.5055,0.3285,25.72,0.1074,0.0998,-0.0076,157.3,153.6,-2.29,0.5218,0.5007,-0.00421,0,2,30.2,84.6,1,low
UT290016,Uttar Pradesh,29,25.29703,82.16973,454,0.5438,0.9481,0.4043,62.79,-0.092,-0.0767,0.0154,101.1,108.8,7.57,0.4717,0.4487,-0.00458,0,1,27.8,76.0,0,low
UT220017,Uttar Pradesh,22,24.44936,80.32246,1845,0.788,0.9969,0.2089,23.52,-0.2182,-0.2165,0.0017,62.8,63.5,1.12,0.5867,0.5064,-0.01607,0,1,34.4,86.8,1,low
UT290018,Uttar Pradesh,29,29.64376,78.56439,370,1.6561,1.6299,-0.0262,-1.49,0.02,0.0167,-0.0033,51.1,49.3,-3.39,0.5441,0.5037,-0.00808,0,1,30.4,61.0,0,low
UT230019,Uttar Pradesh,23,25.65949,82.02841,347,0.9783,1.1766,0.1983,18.39,-0.0147,-0.0238,-0.0091,110.3,107.0,-2.92,0.5294,0.4885,-0.00818,1,2,50.2,94.5,1,low
UT220020,Uttar Pradesh,22,29.31592,77.91359,1376,2.843,4.1797,1.3367,45.42,-0.1098,-0.07,0.0398,68.3,78.5,14.79,0.4935,0.5899,0.01928,1,2,11.3,49.1,1,medium
UT040021,Uttar Pradesh,4,24.46332,84.25542,2854,0.6468,1.1074,0.4607,61.69,-0.0571,-0.0594,-0.0023,113.3,112.1,-1.04,0.3557,0.3472,-0.00169,0,1,46.9,66.5,0,low
UT220022,Uttar Pradesh,22,27.91048,83.22584,1196,1.0017,1.2896,0.288,26.14,0.1529,0.166,0.0131,93.3,101.4,8.55,0.6256,0.6263,0.00014,0,0,39.1,65.4,1,low
UT240023,Uttar Pradesh,24,28.70936,77.12024,200,0.4215,0.7561,0.3346,64.16,-0.2603,-0.2677,-0.0074,35.4,32.7,-7.41,0.3775,0.2879,-0.01792,1,2,29.6,99.7,0,low
UT250024,Uttar Pradesh,25,25.13947,82.24404,200,0.5592,0.7128,0.1536,23.3,-0.1496,-0.1301,0.0194,35.7,50.1,39.01,0.21,0.2206,0.00212,1,1,37.8,60.3,1,low
UT220025,Uttar Pradesh,22,29.67669,78.22941,1104,3.9499,4.6044,0.6545,16.16,-0.2418,-0.2128,0.029,69.8,88.7,26.78,0.595,0.6072,0.00243,1,2,27.0,54.3,0,medium
UT250026,Uttar Pradesh,25,24.44312,77.19617,1407,0.4448,0.8108,0.366,67.19,0.1682,0.1845,0.0163,50.2,54.4,8.24,0.5013,0.456,-0.00906,0,1,34.4,90.2,0,low
UT180027,Uttar Pradesh,18,28.2622,83.44492,1097,1.0423,1.2121,0.1699,14.87,-0.0929,-0.0781,0.0148,31.5,38.3,20.87,0.4407,0.3436,-0.01942,0,0,51.1,59.9,0,low
UT060028,Uttar Pradesh,6,26.44327,79.99802,602,1.4063,1.3862,-0.0201,-1.34,0.1714,0.1857,0.0143,190.9,196.3,2.8,0.5906,0.6144,0.00475,1,0,59.5,56.7,0,low
UT190029,Uttar Pradesh,19,30.30987,84.1616,430,0.4629,0.422,-0.041,-7.28,-0.1675,-0.1768,-0.0094,47.0,41.1,-12.38,0.5123,0.4696,-0.00854,1,1,50.9,82.1,0,low
UT270030,Uttar Pradesh,27,25.46,79.82847,1327,2.7228,3.4882,0.7654,27.12,0.038,0.0486,0.0106,121.6,126.0,3.54,0.6396,0.7212,0.01632,1,0,24.6,59.1,1,medium
UT030031,Uttar Pradesh,3,28.9282,82.65002,1021,0.689,1.0023,0.3133,39.71,0.0806,0.0754,-0.0052,75.8,72.6,-4.15,0.6959,0.6108,-0.01702,0,1,50.3,89.2,0,low
UT290032,Uttar Pradesh,29,30.47617,79.79915,1035,0.9978,1.0281,0.0303,2.76,-0.2991,-0.3037,-0.0046,23.3,21.2,-8.5,0.4012,0.4323,0.00623,0,0,42.1,83.6,0,low
UT280033,Uttar Pradesh,28,26.41424,77.47532,1313,11.0528,17.2653,6.2125,55.7,0.0181,0.1214,0.1033,136.8,182.4,33.14,0.4859,0.6584,0.03449,0,2,6.1,39.5,1,high
UT180034,Uttar Pradesh,18,24.52391,82.53234,1651,10.4196,14.6718,4.2522,40.42,-0.2343,-0.123,0.1114,20.7,64.3,200.61,0.2223,0.3774,0.03102,1,2,2.7,22.1,1,high
UT260035,Uttar Pradesh,26,29.73388,79.9902,451,2.4686,4.4368,1.9682,76.63,0.0271,0.0654,0.0383,154.8,176.0,13.61,0.3748,0.3974,0.00454,1,0,9.5,33.3,1,medium
UT290036,Uttar Pradesh,29,27.00492,80.12942,439,0.6778,1.05,0.3722,47.85,0.189,0.2029,0.0138,186.9,194.1,3.84,0.5792,0.5923,0.00262,1,2,40.1,70.5,0,low
UT280037,Uttar Pradesh,28,25.2137,77.71467,290,0.8464,1.1271,0.2807,29.67,0.1575,0.1635,0.006,166.7,169.1,1.46,0.6286,0.6645,0.00718,0,2,34.8,94.7,1,low
UT270038,Uttar Pradesh,27,25.07871,83.70265,264,1.9972,3.1937,1.1966,57.06,0.1451,0.1917,0.0466,173.0,203.7,17.66,0.4704,0.5175,0.00943,1,2,23.7,39.6,1,medium
UT030039,Uttar Pradesh,3,27.06337,84.4412,1818,0.7626,0.7265,-0.0362,-4.2,0.0408,0.0358,-0.005,49.4,48.0,-2.85,0.3702,0.4001,0.00599,0,1,51.3,84.3,0,low
UT140040,Uttar Pradesh,14,24.83752,80.13698,1207,0.4992,0.652,0.1529,25.51,-0.2363,-0.225,0.0112,61.3,68.8,12.08,0.6909,0.6841,-0.00136,1,0,26.8,67.8,1,low
UT230041,Uttar Pradesh,23,26.21264,84.51662,749,1.0557,1.1269,0.0712,6.16,0.0946,0.1018,0.0072,74.1,77.6,4.74,0.5688,0.5476,-0.00424,0,1,35.9,62.4,1,low
UT030042,Uttar Pradesh,3,25.5222,82.9793,858,1.4476,1.708,0.2604,16.83,0.0171,0.0092,-0.0079,93.7,91.6,-2.27,0.27,0.2115,-0.0117,1,0,15.2,56.7,1,low
UT190043,Uttar Pradesh,19,28.01093,77.86517,2122,10.0799,12.5284,2.4485,24.05,-0.0747,0.026,0.1007,101.7,171.3,67.73,0.5355,0.6948,0.03187,1,2,15.9,38.0,1,high
UT090044,Uttar Pradesh,9,26.62756,79.44022,969,0.9638,1.271,0.3072,28.88,-0.2949,-0.2859,0.0091,55.7,61.3,9.8,0.2603,0.2956,0.00707,0,0,17.0,70.4,0,low
UT030045,Uttar Pradesh,3,26.90173,83.06769,3166,2.6849,3.153,0.4681,16.81,-0.2938,-0.2825,0.0114,39.9,45.6,14.08,0.2828,0.2895,0.00134,1,0,21.1,51.2,0,medium
UT030046,Uttar Pradesh,3,25.48516,84.42864,1108,0.7847,0.7081,-0.0766,-8.66,-0.22,-0.2293,-0.0093,39.2,32.7,-16.18,0.2581,0.3015,0.00868,1,0,32.3,61.9,0,low
UT120047,Uttar Pradesh,12,26.22591,79.05388,430,0.8353,0.8345,-0.0009,-0.09,-0.2247,-0.2102,0.0145,66.1,71.9,8.65,0.3629,0.3818,0.00378,0,2,42.0,56.7,0,low
UT120048,Uttar Pradesh,12,30.16923,80.89806,4300,1.0926,1.3458,0.2532,21.23,-0.1984,-0.1855,0.0129,56.0,63.0,12.14,0.6328,0.6799,0.00942,1,0,34.8,57.8,1,low
UT020049,Uttar Pradesh,2,25.94607,79.72624,548,0.8462,1.0634,0.2171,22.95,-0.1997,-0.1798,0.0198,25.5,33.9,31.5,0.5165,0.4268,-0.01793,1,1,47.5,56.1,1,low
UT170050,Uttar Pradesh,17,29.64814,82.18129,2934,8.4777,11.2067,2.729,31.82,-0.0986,-0.012,0.0865,102.7,164.5,59.64,0.4026,0.5978,0.03906,1,2,10.0,31.9,1,high
UT230051,Uttar Pradesh,23,27.3811,78.08586,294,2.985,4.7843,1.7994,58.33,0.0609,0.091,0.0301,65.9,85.2,28.88,0.5575,0.6919,0.02687,1,2,20.4,66.3,1,medium
UT280052,Uttar Pradesh,28,24.2749,81.29118,1447,9.0021,18.1326,9.1305,100.31,0.0332,0.2068,0.1736,124.3,193.5,55.3,0.2527,0.3623,0.02193,1,2,2.8,38.8,1,high
UT240053,Uttar Pradesh,24,27.95039,79.24429,2946,3.1865,5.1433,1.9568,59.54,0.0411,0.0801,0.039,45.8,68.5,48.55,0.6117,0.6932,0.01631,0,2,24.2,40.7,0,medium
UT220054,Uttar Pradesh,22,24.85487,83.51418,577,0.7962,1.1805,0.3843,42.88,-0.2912,-0.2924,-0.0012,32.0,31.5,-1.59,0.2007,0.1456,-0.01101,1,1,32.9,65.3,1,low
UT100055,Uttar Pradesh,10,25.46498,78.48833,2019,10.4647,22.2813,11.8165,111.85,-0.0364,0.0972,0.1336,119.3,215.9,80.38,0.3687,0.4808,0.02243,1,0,14.2,43.7,1,high
UT060056,Uttar Pradesh,6,26.98089,81.26265,621,0.5541,0.4841,-0.07,-10.7,0.0966,0.1122,0.0156,71.2,82.5,15.7,0.6974,0.7042,0.00135,0,0,23.6,97.5,1,low
UT220057,Uttar Pradesh,22,27.67305,82.86436,1292,1.0722,1.4429,0.3707,31.62,0.1024,0.0938,-0.0086,114.9,109.3,-4.86,0.3269,0.2638,-0.01263,0,2,38.1,59.1,1,low
UT010058,Uttar Pradesh,1,27.72997,80.15859,244,0.4859,0.9369,0.4509,76.96,-0.1896,-0.1984,-0.0088,83.8,80.4,-4.07,0.6752,0.6625,-0.00255,1,0,55.2,76.4,0,low
UT030059,Uttar Pradesh,3,30.1151,80.8526,475,0.9044,0.833,-0.0714,-7.11,-0.1237,-0.109,0.0147,32.1,37.9,17.61,0.6655,0.6243,-0.00825,1,1,15.5,57.3,0,low
UT160060,Uttar Pradesh,16,29.82427,83.217,1580,0.6552,0.7777,0.1226,16.23,0.1924,0.2051,0.0126,154.9,158.6,2.34,0.4722,0.4786,0.00128,1,0,47.1,78.1,1,low
UT290061,Uttar Pradesh,29,25.78147,83.13374,626,0.4647,0.7637,0.2991,52.97,0.0824,0.0925,0.0101,84.6,89.5,5.82,0.4533,0.4114,-0.00838,1,1,40.2,79.0,0,low
UT110062,Uttar Pradesh,11,30.19104,78.72313,2604,3.0993,3.8924,0.7931,24.79,0.0364,0.0589,0.0225,109.2,124.2,13.62,0.653,0.7541,0.02022,1,2,16.9,41.4,1,medium
UT190063,Uttar Pradesh,19,28.10983,78.51234,428,0.8613,1.3555,0.4942,51.41,0.1574,0.1477,-0.0097,64.6,59.5,-7.72,0.6895,0.6728,-0.00334,0,1,43.4,61.5,0,low
UT060064,Uttar Pradesh,6,28.17061,82.34882,333,0.7634,1.0874,0.324,37.52,-0.1645,-0.1565,0.0079,33.2,35.8,7.6,0.6724,0.6828,0.0021,1,0,26.4,73.0,0,low
UT240065,Uttar Pradesh,24,28.70241,77.06881,774,0.6562,0.9586,0.3024,39.99,0.027,0.0415,0.0146,43.0,49.3,14.15,0.2079,0.1195,-0.01769,0,1,54.8,67.7,1,low
UT110066,Uttar Pradesh,11,26.77872,78.56725,243,0.6054,0.7265,0.1211,17.16,0.0937,0.0973,0.0036,138.8,140.4,1.2,0.4213,0.4187,-0.00052,1,0,17.5,59.7,0,low
UT200067,Uttar Pradesh,20,29.73099,83.18736,209,2.911,4.7828,1.8718,62.16,-0.0233,0.0238,0.0471,129.3,160.6,24.01,0.308,0.426,0.02359,1,2,15.7,65.4,0,medium
UT200068,Uttar Pradesh,20,26.67211,82.48666,1945,0.4564,0.4556,-0.0008,-0.15,0.0662,0.0716,0.0054,44.9,46.7,3.95,0.6454,0.5817,-0.01275,0,0,25.5,82.7,0,low
UT160069,Uttar Pradesh,16,29.65843,81.79878,1207,10.4944,16.8853,6.391,60.32,0.1902,0.3396,0.1494,157.2,252.3,60.12,0.6757,0.9,0.05429,1,2,14.0,17.1,1,high
UT110070,Uttar Pradesh,11,26.6297,80.68102,494,2.0108,3.8438,1.833,86.84,-0.2665,-0.237,0.0295,68.4,76.7,12.03,0.5242,0.5805,0.01126,1,1,9.5,58.9,1,medium
UT260071,Uttar Pradesh,26,24.43201,82.82551,661,0.7353,0.8454,0.1101,13.18,-0.2927,-0.2965,-0.0038,46.5,44.8,-3.38,0.3954,0.3192,-0.01524,0,1,33.7,81.5,0,low
UT170072,Uttar Pradesh,17,26.88508,80.4259,717,0.7852,0.8437,0.0584,6.6,-0.1377,-0.1397,-0.0019,45.0,43.9,-2.28,0.3323,0.3316,-0.00014,1,1,16.4,94.6,1,low
UT020073,Uttar Pradesh,2,30.47502,83.27316,950,3.3745,5.3189,1.9443,55.96,0.1515,0.2016,0.0501,49.7,73.9,47.68,0.4856,0.5333,0.00954,1,0,8.4,42.4,1,medium
UT290074,Uttar Pradesh,29,26.53886,77.5269,2012,3.0603,4.022,0.9617,30.43,-0.0016,0.0549,0.0565,96.6,116.6,20.59,0.6978,0.7952,0.01949,1,2,28.7,57.6,0,medium
UT290075,Uttar Pradesh,29,26.95862,82.07498,1494,3.1919,3.5343,0.3424,10.4,-0.0732,-0.0289,0.0443,93.4,125.6,34.1,0.6408,0.7659,0.02501,1,2,28.1,57.6,1,medium
UT190076,Uttar Pradesh,19,29.74979,77.95168,695,2.478,4.4328,1.9548,75.82,0.1237,0.1505,0.0268,183.6,201.3,9.54,0.6263,0.639,0.00255,0,1,11.2,68.7,0,medium
UT040077,Uttar Pradesh,4,26.30958,82.12236,288,0.9098,0.898,-0.0118,-1.17,-0.2225,-0.2301,-0.0075,56.0,51.1,-8.6,0.2686,0.2557,-0.00258,1,0,52.0,75.6,1,low
UT090078,Uttar Pradesh,9,29.4607,84.51983,559,0.6369,0.8506,0.2137,28.99,-0.0202,-0.0096,0.0106,122.3,125.6,2.68,0.5493,0.5117,-0.00752,1,1,33.1,88.4,0,low
UT250079,Uttar Pradesh,25,27.74799,81.24662,1700,0.6731,1.1365,0.4633,59.93,0.0647,0.0719,0.0072,45.6,48.3,5.82,0.46,0.4383,-0.00434,1,0,39.9,65.7,1,low
UT230080,Uttar Pradesh,23,29.02136,82.33891,586,2.6495,4.6488,1.9992,72.71,-0.1011,-0.0825,0.0185,48.3,56.1,15.81,0.4553,0.5919,0.02732,0,1,8.5,32.0,1,medium
UT170081,Uttar Pradesh,17,28.88,77.9537,4272,2.3101,4.0297,1.7196,71.35,-0.1171,-0.0696,0.0475,36.3,54.8,49.86,0.4093,0.4591,0.00997,1,0,21.2,66.5,1,medium
UT140082,Uttar Pradesh,14,29.16413,79.11378,311,0.5491,0.6058,0.0566,8.72,0.1677,0.1633,-0.0044,59.4,58.1,-2.17,0.2814,0.2707,-0.00214,0,0,48.9,91.8,1,low
UT250083,Uttar Pradesh,25,28.49186,79.06441,550,1.414,1.6763,0.2623,17.32,-0.2133,-0.2088,0.0046,82.8,84.2,1.74,0.5669,0.5618,-0.00103,0,0,54.3,73.5,1,low
UT060084,Uttar Pradesh,6,26.35002,77.70048,937,0.4353,0.6922,0.2569,47.99,0.0294,0.0353,0.006,107.4,109.7,2.19,0.6692,0.692,0.00456,1,0,35.6,66.4,0,low
UT170085,Uttar Pradesh,17,25.35889,77.64363,511,1.1897,1.4291,0.2394,18.56,-0.0118,0.0011,0.0129,59.1,62.4,5.53,0.5396,0.4511,-0.0177,1,1,56.8,65.8,1,low
UT240086,Uttar Pradesh,24,30.11119,77.35557,3611,2.808,3.288,0.48,16.51,-0.0934,-0.0505,0.0429,66.7,81.3,21.62,0.2784,0.2847,0.00126,1,1,12.8,66.7,1,medium
UT050087,Uttar Pradesh,5,29.35906,78.11292,968,2.6224,3.1054,0.4829,17.74,-0.0498,-0.0273,0.0225,61.6,77.3,25.17,0.3076,0.3915,0.01678,1,1,17.7,54.8,1,medium
UT050088,Uttar Pradesh,5,24.427,83.74211,1035,2.448,3.0204,0.5724,22.46,-0.0909,-0.036,0.0549,66.9,83.3,24.28,0.2083,0.2987,0.01807,0,0,28.4,31.6,1,medium
UT070089,Uttar Pradesh,7,27.82429,80.0224,681,0.371,0.5923,0.2212,46.96,-0.234,-0.2286,0.0054,44.5,46.3,3.93,0.3109,0.2585,-0.01047,0,1,29.9,89.2,0,low
UT250090,Uttar Pradesh,25,29.92022,81.16035,1358,0.5648,0.7099,0.1451,21.82,-0.2827,-0.2809,0.0018,47.7,48.3,1.37,0.643,0.6774,0.00687,0,2,32.9,71.2,0,low
UT170091,Uttar Pradesh,17,26.77866,79.51016,542,2.8116,3.842,1.0304,35.39,-0.2354,-0.1953,0.0402,34.9,54.4,54.25,0.4461,0.5439,0.01956,1,1,11.0,67.8,1,medium
UT220092,Uttar Pradesh,22,26.10483,82.02467,1097,2.0966,3.4268,1.3302,60.56,-0.2775,-0.2504,0.0271,63.2,74.4,17.54,0.4327,0.4449,0.00245,1,0,29.2,53.1,1,medium
UT040093,Uttar Pradesh,4,24.93133,82.43186,351,1.0289,1.5255,0.4966,44.0,0.1188,0.1272,0.0084,151.7,154.2,1.61,0.6621,0.611,-0.01023,0,2,51.6,77.5,0,low
UT140094,Uttar Pradesh,14,26.09772,81.21311,2431,2.0025,3.9305,1.928,91.7,-0.0428,-0.0053,0.0374,96.8,113.4,17.02,0.3201,0.3674,0.00945,1,2,25.9,46.1,1,medium
UT040095,Uttar Pradesh,4,28.55397,82.72639,314,2.0489,2.0044,-0.0445,-2.07,0.0837,0.083,-0.0008,74.3,74.0,-0.37,0.4755,0.4541,-0.00429,0,2,18.0,97.0,1,low
UT150096,Uttar Pradesh,15,27.54102,78.03123,244,0.7667,0.9465,0.1797,20.73,-0.0218,-0.021,0.0008,69.8,70.1,0.3,0.5833,0.5886,0.00106,0,0,20.4,72.0,0,low
UT150097,Uttar Pradesh,15,26.69637,79.94329,384,0.7184,0.8565,0.1382,16.88,0.0652,0.0593,-0.0059,75.8,72.7,-3.97,0.2556,0.2858,0.00605,1,1,31.4,66.4,0,low
UT040098,Uttar Pradesh,4,27.62929,83.61153,1303,0.7568,0.8483,0.0915,10.68,-0.1996,-0.2002,-0.0005,46.8,46.6,-0.46,0.2976,0.2994,0.00035,0,2,59.8,61.7,1,low
UT180099,Uttar Pradesh,18,24.82613,78.43856,1334,0.5381,0.7036,0.1655,25.94,0.1132,0.1208,0.0076,122.5,127.6,4.1,0.5157,0.5334,0.00353,1,0,23.3,89.4,0,low
UT060100,Uttar Pradesh,6,25.31491,79.93897,1114,1.0444,1.5159,0.4714,41.19,-0.2029,-0.1987,0.0042,59.3,61.4,3.58,0.6973,0.6276,-0.01394,1,2,29.9,75.3,0,low
UT110101,Uttar Pradesh,11,24.30532,84.05319,2506,2.6061,4.0458,1.4397,53.2,-0.0946,-0.0638,0.0308,61.0,71.4,16.8,0.2492,0.3391,0.01798,1,0,20.0,32.9,0,medium
UT090102,Uttar Pradesh,9,29.39905,78.7074,546,0.943,1.2103,0.2674,25.63,0.1052,0.1034,-0.0018,116.5,115.9,-0.44,0.2906,0.3342,0.00872,1,1,49.6,87.9,1,low
UT150103,Uttar Pradesh,15,30.10132,79.65889,298,0.5899,0.822,0.2321,33.64,0.0711,0.0619,-0.0092,115.3,111.8,-3.03,0.5475,0.5326,-0.00298,1,0,38.1,77.3,1,low
UT170104,Uttar Pradesh,17,24.59424,81.75518,696,7.3761,12.1315,4.7554,63.61,-0.0527,0.0384,0.0911,96.6,156.2,61.03,0.5058,0.6713,0.0331,1,2,15.3,37.0,1,high
UT250105,Uttar Pradesh,25,25.72899,79.52913,2173,0.7999,1.0386,0.2388,26.53,0.1659,0.1858,0.0199,181.7,187.2,2.99,0.3155,0.3501,0.00692,0,1,49.2,64.4,1,low
UT170106,Uttar Pradesh,17,30.27665,79.99102,769,1.4123,1.5692,0.1569,10.38,-0.1165,-0.1221,-0.0056,83.6,81.1,-2.96,0.2034,0.1819,-0.0043,1,1,43.9,95.6,1,low
UT180107,Uttar Pradesh,18,25.77904,83.92982,950,3.5118,4.6627,1.151,31.87,-0.0447,-0.0191,0.0256,122.4,130.5,6.61,0.6762,0.7755,0.01987,1,0,22.9,36.8,1,medium
UT180108,Uttar Pradesh,18,29.43687,81.17171,619,0.7292,0.814,0.0847,10.22,0.1906,0.2086,0.018,124.6,135.5,8.62,0.6611,0.5824,-0.01574,1,0,25.5,93.9,0,low
UT140109,Uttar Pradesh,14,24.79227,80.16055,725,0.7311,0.6751,-0.056,-6.74,-0.0924,-0.0898,0.0027,105.8,107.3,1.43,0.4095,0.3782,-0.00626,1,2,30.5,73.8,0,low
UT240110,Uttar Pradesh,24,30.03725,80.27207,1377,0.5255,0.4693,-0.0562,-8.98,-0.1828,-0.1703,0.0125,40.4,48.2,18.85,0.3373,0.331,-0.00126,1,2,16.4,91.4,1,low
UT100111,Uttar Pradesh,10,29.58195,79.4767,1384,0.933,1.0354,0.1024,9.91,-0.1461,-0.1489,-0.0028,41.4,40.0,-3.44,0.3457,0.3083,-0.00748,1,0,28.4,62.4,0,low
UT050112,Uttar Pradesh,5,29.33813,81.13919,1236,6.6192,13.0199,6.4007,95.26,-0.0586,0.1002,0.1587,83.0,123.8,48.59,0.6015,0.8022,0.04015,1,2,15.3,33.2,1,high
UT010113,Uttar Pradesh,1,25.69597,84.36908,556,1.8739,3.7851,1.9112,96.83,0.0818,0.1408,0.0591,145.1,170.0,17.03,0.5138,0.5357,0.00438,1,0,22.0,53.9,0,medium
UT090114,Uttar Pradesh,9,28.17817,81.56719,561,2.9664,3.5948,0.6284,20.49,-0.0637,-0.0279,0.0359,52.3,68.6,30.7,0.2361,0.3642,0.02561,0,1,26.7,62.5,1,medium
UT100115,Uttar Pradesh,10,24.5262,83.66227,2454,2.7442,3.6767,0.9325,32.79,-0.1306,-0.0837,0.0469,100.9,113.8,12.64,0.3285,0.3626,0.00681,1,1,28.0,62.5,1,medium
UT160116,Uttar Pradesh,16,28.05087,82.63637,4734,2.2213,2.5554,0.334,14.39,-0.1063,-0.0731,0.0332,72.1,91.4,26.4,0.3096,0.399,0.01789,1,1,14.6,54.7,1,medium
UT020117,Uttar Pradesh,2,26.52002,78.0516,613,0.7867,1.0468,0.2602,29.34,0.1877,0.1949,0.0072,62.2,67.2,7.97,0.2597,0.2089,-0.01016,0,0,50.0,74.4,0,low
UT080118,Uttar Pradesh,8,26.09344,81.25406,689,3.5456,4.2962,0.7506,20.59,-0.2036,-0.167,0.0366,29.0,52.6,78.84,0.6058,0.6144,0.00172,1,0,12.0,31.0,0,medium
UT160119,Uttar Pradesh,16,26.5061,80.85081,391,0.5785,0.8134,0.2349,34.62,0.1613,0.1664,0.0051,55.1,57.5,4.41,0.3682,0.4062,0.00762,1,2,25.6,58.4,0,low
UT020120,Uttar Pradesh,2,27.74925,77.906,615,2.5195,4.0419,1.5224,58.12,0.1719,0.1869,0.015,143.6,153.8,7.07,0.3731,0.4256,0.01051,0,2,14.3,57.4,1,medium
UT030121,Uttar Pradesh,3,24.41522,79.41216,1636,3.2738,3.7431,0.4693,13.91,0.1818,0.222,0.0402,155.9,184.7,18.33,0.4878,0.5751,0.01745,1,2,12.4,57.1,0,medium
UT160122,Uttar Pradesh,16,24.26217,79.47889,1041,0.6012,1.0096,0.4084,58.24,-0.1291,-0.1095,0.0196,54.4,59.3,9.0,0.3911,0.3363,-0.01095,0,0,35.0,59.5,0,low
UT040123,Uttar Pradesh,4,29.97039,77.35714,200,0.785,1.1661,0.3811,43.06,-0.2097,-0.1912,0.0184,71.2,79.4,11.41,0.5041,0.4708,-0.00666,0,0,17.6,61.8,0,low
UT150124,Uttar Pradesh,15,28.49618,82.0262,536,1.6199,1.7723,0.1524,8.86,0.0586,0.0661,0.0075,99.3,103.0,3.63,0.393,0.438,0.009,1,1,24.2,57.5,0,low
UT070125,Uttar Pradesh,7,29.07031,80.58436,1255,0.3763,0.5019,0.1255,26.35,-0.0716,-0.0718,-0.0001,56.7,56.6,-0.09,0.5528,0.531,-0.00435,1,0,33.6,68.1,1,low
