rank,village_id,state,latitude,longitude,population,growth_score,ntl_2019,ntl_2024,ntl_growth_abs,ntl_growth_pct,ndbi_2020,ndbi_2025,ndbi_delta,built_area_ha_2025,built_growth_pct,ndvi_2019,ndvi_2024,ndvi_trend,road_connected,road_type_label,dist_to_town_km,has_telecom_tower,antyodaya_score,ntl_norm,builtup_norm,ndvi_norm,road_norm,digital_norm,primary_growth_driver
11,WE020137,West Bengal,25.27181,89.73097,2556,99.81,7.2313,16.1986,8.9673,122.31,-0.2742,-0.1715,0.1027,105.1,254.29,0.3419,0.6078,0.05317,1,Black-Top,5.8,1,31.2,0.821168438527612,1.0,0.9630508857345914,0.9906103805005217,0.9817391304347824,Construction Boom
12,MA230264,Madhya Pradesh,22.40021,74.25679,1459,99.79,8.2918,19.7066,11.4147,136.02,-0.09,0.0777,0.1676,146.3,68.12,0.4766,0.7593,0.05655,1,Black-Top,9.6,1,43.0,1.0,0.795152232451178,1.0,0.9696218192663946,0.9486956521739128,NTL-Led (Electrification)
13,TA070009,Tamil Nadu,12.91656,78.16412,675,99.77,9.4904,20.3711,10.8807,113.45,-0.1437,-0.0227,0.121,105.0,267.75,0.5961,0.7137,0.02353,1,Black-Top,4.1,1,32.4,0.9918967126681943,1.0,0.5693025047657633,1.0,0.9965217391304345,Construction Boom
14,RA290116,Rajasthan,26.10181,71.93889,2246,99.75,6.9442,16.2265,9.2823,131.77,0.0109,0.136,0.1251,129.0,202.86,0.4239,0.6935,0.05393,1,Black-Top,9.2,1,23.4,0.8505822222724725,0.9642742535486677,0.9731469980671255,0.9718311415015657,0.9521739130434781,Agricultural Growth
15,UT280488,Uttar Pradesh,24.83301,83.12359,1949,99.73,10.3237,22.0203,11.6966,112.21,-0.1574,0.0135,0.1709,168.9,132.77,0.5815,0.7543,0.03457,1,Black-Top,15.0,1,14.0,1.0,0.9609628067346727,0.7159618207541526,0.9397959690915818,0.9017391304347825,NTL-Led (Electrification)
16,CH090026,Chhattisgarh,18.60789,82.85764,4957,99.71,10.5865,20.8849,10.2984,96.37,0.0244,0.1837,0.1592,168.5,175.89,0.3395,0.5185,0.0358,1,Black-Top,12.6,1,43.2,0.9375720122801908,1.0,0.7323015815028591,0.9530519025026096,0.9226086956521737,Construction Boom
17,PU220011,Punjab,29.92871,74.66094,2826,99.69,6.2128,15.7315,9.5187,150.79,-0.1152,0.0419,0.1571,92.6,192.46,0.3046,0.5141,0.0419,1,Black-Top,9.6,1,40.9,0.8740835613502104,1.0,0.8133361673297772,0.9696218192663946,0.9486956521739128,Construction Boom
18,TA140225,Tamil Nadu,11.76987,79.50294,2218,99.67,10.3482,19.0958,8.7475,83.72,0.0684,0.2344,0.166,169.4,188.15,0.3791,0.6416,0.05249,1,Black-Top,8.8,1,35.8,0.796814768896525,1.0,0.9540175220686398,0.974040463736737,0.9556521739130432,Construction Boom
19,WE130135,West Bengal,24.07165,87.53793,1443,99.65,7.0745,18.6609,11.5864,161.49,-0.2634,-0.1105,0.153,74.9,230.48,0.2831,0.4284,0.02904,1,Black-Top,15.7,1,27.7,1.0,1.0,0.6424993191766352,0.935929655180032,0.8956521739130433,NTL-Led (Electrification)
20,UT220074,Uttarakhand,29.13037,78.86676,4856,99.63,6.9983,17.742,10.7437,151.36,-0.0943,0.0495,0.1438,151.3,77.87,0.4037,0.6892,0.05711,1,Black-Top,8.4,1,21.1,0.9841347585840434,0.7333306174704786,1.0,0.9762497859719084,0.9591304347826084,Agricultural Growth
21,TA050133,Tamil Nadu,9.33662,78.01959,676,99.61,10.8201,22.2877,11.4677,105.01,-0.2397,-0.1187,0.121,112.8,274.72,0.3303,0.458,0.02554,1,Black-Top,14.5,1,26.3,1.0,1.0,0.5960040650136493,0.942557621885546,0.906086956521739,NTL-Led (Electrification)
22,AN150117,Andhra Pradesh,17.99444,79.41675,961,99.59,6.4359,15.956,9.5201,145.66,-0.19,-0.0251,0.1649,137.4,210.54,0.3195,0.5076,0.03763,1,Black-Top,8.3,1,31.5,0.8735951472128979,1.0,0.7566119572509344,0.9768021165307013,0.9599999999999999,Construction Boom
23,BI160247,Bihar,26.85476,85.00197,798,99.57,6.3076,16.9568,10.6492,166.2,-0.2625,-0.1594,0.1031,93.7,153.1,0.5381,0.8182,0.05602,1,Black-Top,13.0,1,29.3,0.9774268453035775,0.7671121396449033,1.0,0.9508425802674383,0.9191304347826085,Agricultural Growth
24,UT210540,Uttar Pradesh,27.06319,77.01391,1080,99.55,9.2494,21.0618,11.8124,126.34,-0.1591,0.0044,0.1635,141.5,103.13,0.2564,0.413,0.03132,1,Black-Top,6.0,1,21.3,1.0,0.8639064447187307,0.6727876561742374,0.9895057193829362,0.9799999999999998,NTL-Led (Electrification)
25,RA070396,Rajasthan,27.7019,71.52535,593,99.53,9.1626,21.0614,11.8988,128.46,0.0688,0.2246,0.1559,220.9,50.63,0.2179,0.4812,0.05266,1,Black-Top,8.2,1,19.0,1.0,0.7116751847084531,0.9562758629851278,0.9773544470894939,0.9608695652173911,NTL-Led (Electrification)
26,AN190013,Andhra Pradesh,18.97301,78.29047,5759,99.51,9.6892,20.1116,10.4224,106.47,-0.2387,-0.103,0.1357,117.7,191.93,0.6507,0.7743,0.02472,1,Black-Top,8.1,1,18.2,0.9499140459951192,0.9761144626605783,0.5851108911811784,0.977906777648287,0.9617391304347824,Road-Driven
27,TE200158,Telangana,17.36483,79.78912,3048,99.5,8.3982,18.2107,9.8125,115.47,-0.2139,-0.0341,0.1798,147.3,157.76,0.6035,0.7985,0.039,1,Black-Top,17.1,1,22.5,0.8962333818960228,1.0,0.7748115281661603,0.9281970273569324,0.8834782608695649,Construction Boom
28,GU040288,Gujarat,24.38144,68.20974,2906,99.48,8.3674,17.8246,9.4573,111.69,-0.1093,0.0685,0.1779,213.8,130.85,0.646,0.9,0.05627,1,WBM,17.7,1,31.6,0.8638903104207617,0.9814032482196207,1.0,0.7923237098938973,0.8782608695652172,Agricultural Growth
29,WE040021,West Bengal,26.60119,88.91749,1220,99.46,9.6566,21.1041,11.4475,117.33,-0.1303,0.0271,0.1574,166.4,86.22,0.3195,0.5432,0.04474,1,WBM,6.7,1,10.3,1.0,0.8018227727959164,0.851063744993457,0.8530800713611082,0.9739130434782606,NTL-Led (Electrification)
30,AN200054,Andhra Pradesh,14.58948,78.36206,4297,99.44,6.3372,16.8549,10.5177,163.39,0.0272,0.2045,0.1774,247.7,61.7,0.5638,0.7298,0.0332,1,Black-Top,3.5,1,17.8,0.9652841276520373,0.8148779731849042,0.6977622498389269,1.0,0.9999999999999999,Road-Driven
31,TA070242,Tamil Nadu,10.24696,79.53184,2022,99.42,8.7796,19.3383,10.5587,118.91,0.1642,0.3051,0.141,104.0,80.16,0.6429,0.8613,0.04368,1,Black-Top,3.1,1,40.8,0.9636405183125032,0.7287803560210321,0.8369823251612385,1.0,0.9999999999999999,Road-Driven
32,TA240180,Tamil Nadu,12.88388,76.88953,2488,99.4,9.0695,18.6875,9.618,104.89,-0.2723,-0.0953,0.177,103.4,170.11,0.6356,0.7889,0.03066,1,Black-Top,11.4,1,11.5,0.877504255951608,1.0,0.6640199796749314,0.9596798692081236,0.9330434782608694,Construction Boom
33,UT060064,Uttarakhand,29.6447,79.00914,1819,99.38,6.9404,16.7191,9.7788,138.9,0.1135,0.2817,0.1681,148.2,95.27,0.4826,0.6755,0.03859,1,Black-Top,5.7,1,41.3,0.8960125181501056,0.8616194023148203,0.7693649412499248,0.9911627110593149,0.9826086956521737,Road-Driven
34,KA280025,Karnataka,16.10926,76.70878,3155,99.36,9.8342,20.7318,10.8976,109.7,0.0358,0.2079,0.1721,205.5,118.22,0.6699,0.7871,0.02345,1,Black-Top,14.1,1,41.7,0.9929651185935654,0.9305880248077394,0.5682397560991808,0.9447669441207174,0.9095652173913042,NTL-Led (Electrification)
35,JH140113,Jharkhand,23.92844,83.90248,1623,99.34,6.8227,17.4003,10.5776,152.8,-0.2464,-0.0821,0.1643,131.4,118.17,0.6724,0.8399,0.03349,1,Black-Top,17.9,1,39.1,0.9693943480943465,0.9025955787182127,0.7016147137552884,0.92377838288659,0.8765217391304346,NTL-Led (Electrification)
36,PU260001,Punjab,30.13674,74.99732,1079,99.32,8.009,17.9721,9.9632,122.87,-0.1901,-0.0555,0.1347,166.4,113.64,0.6622,0.9,0.0588,1,Black-Top,17.2,1,34.0,0.9106493800543184,0.786027886193911,1.0,0.9276446967981395,0.8826086956521738,Agricultural Growth
37,CH040014,Chhattisgarh,21.37153,82.99202,1757,99.3,8.0582,17.2353,9.177,112.49,-0.2562,-0.1344,0.1219,97.8,365.47,0.3965,0.5762,0.03596,1,Black-Top,14.2,1,31.4,0.8388201803456022,1.0,0.7344270788360241,0.9442146135619245,0.9086956521739128,Construction Boom
38,HA240074,Haryana,30.1435,77.08634,5962,99.28,9.3778,20.0793,10.7015,112.91,-0.1654,-0.0466,0.1187,148.7,87.94,0.4431,0.725,0.05637,1,Black-Top,13.8,1,28.2,0.9757431333326709,0.6676257950748063,1.0,0.9464239357970958,0.9121739130434781,Agricultural Growth
39,UT090661,Uttar Pradesh,28.55101,84.33996,2580,99.26,9.0643,20.184,11.1198,121.34,-0.1835,-0.0797,0.1038,145.7,94.07,0.2913,0.5874,0.05922,1,Black-Top,12.8,1,30.9,1.0,0.6289843077920725,1.0,0.9519472413850241,0.920869565217391,NTL-Led (Electrification)
40,RA180183,Rajasthan,23.72923,69.5795,885,99.24,10.1803,20.3338,10.1534,98.77,0.1819,0.338,0.1561,207.7,77.71,0.5817,0.8228,0.04822,1,WBM,2.5,1,10.6,0.9248409231862755,0.776903539936644,0.8972933119897972,0.8762779548304069,0.9999999999999999,NTL-Led (Electrification)
41,MA100114,Madhya Pradesh,25.36093,77.70371,3140,99.22,9.0476,19.3877,10.3402,113.04,-0.2831,-0.1802,0.1028,53.4,90.64,0.5316,0.826,0.05889,1,Black-Top,2.6,1,28.7,0.9433204551414018,0.6172393921136583,1.0,1.0,0.9999999999999999,Agricultural Growth
42,TE210186,Telangana,16.03535,77.61038,1173,99.2,7.1146,16.502,9.3874,130.12,-0.2884,-0.1315,0.1569,123.4,344.77,0.6432,0.8046,0.03227,1,Black-Top,14.9,1,14.1,0.8598207911565618,1.0,0.6854077965899048,0.9403482996503747,0.9026086956521737,Construction Boom
43,AN010198,Andhra Pradesh,12.74169,83.69409,2879,99.18,10.5678,19.584,9.0162,84.52,-0.1722,-0.0048,0.1674,147.5,180.88,0.575,0.7759,0.04018,1,Black-Top,17.0,1,35.6,0.8210349626052827,1.0,0.7904870709982528,0.9287493579157253,0.8843478260869564,Construction Boom
44,TA230184,Tamil Nadu,10.12661,79.87351,2358,99.17,9.5614,17.0424,7.4809,77.43,-0.0635,0.0945,0.158,146.0,260.13,0.4756,0.7352,0.05191,1,Black-Top,8.5,1,38.7,0.6823439025574044,1.0,0.9463125942359165,0.9756974554131157,0.9582608695652173,Construction Boom
45,MA250235,Madhya Pradesh,22.67076,78.29103,559,99.15,7.9641,17.7088,9.7447,120.84,0.1785,0.3371,0.1586,225.2,81.68,0.3197,0.6018,0.05643,1,Black-Top,17.7,1,24.7,0.890789000777158,0.7952951726014225,1.0,0.9248830440041755,0.8782608695652172,Agricultural Growth
46,MA160363,Madhya Pradesh,23.20198,75.00229,6086,99.13,6.2066,16.3241,10.1175,160.43,-0.0044,0.1244,0.1288,164.0,105.92,0.3523,0.6027,0.05008,1,Black-Top,11.9,1,29.1,0.9289990273675369,0.7465525813680848,0.9220022184878411,0.9569182164141594,0.9286956521739129,Road-Driven
47,BI230080,Bihar,26.87277,87.91436,1343,99.11,9.0695,17.9203,8.8508,96.52,-0.1433,0.001,0.1443,113.6,196.0,0.5055,0.7147,0.04184,1,Black-Top,17.8,1,35.3,0.8076215302312987,1.0,0.8125391058298403,0.9243307134453826,0.877391304347826,Construction Boom
48,MA280253,Maharashtra,21.74077,75.78007,1716,99.09,7.4852,16.86,9.3748,123.59,0.1409,0.3047,0.1638,176.7,75.66,0.3105,0.5437,0.04664,1,Black-Top,6.4,1,28.4,0.8579078357854216,0.7995357303920061,0.876304025824792,0.9872963971477648,0.9765217391304346,Road-Driven
49,UT270091,Uttarakhand,29.17846,79.79905,4441,99.07,5.8989,17.4466,11.5478,192.5,-0.2595,-0.1494,0.1101,70.4,90.19,0.3784,0.6445,0.05321,1,Black-Top,14.9,1,21.7,1.0,0.6422539184064269,0.9635822600678825,0.9403482996503747,0.9026086956521737,NTL-Led (Electrification)
50,MA220209,Maharashtra,15.61196,80.34456,767,99.05,8.1042,17.2126,9.1085,111.02,0.0016,0.1613,0.1597,110.9,161.49,0.2365,0.3997,0.03265,1,Black-Top,13.3,1,32.3,0.8324941398832802,0.9893602499165586,0.6904558527561719,0.9491855885910598,0.9165217391304346,Construction Boom
51,TA200067,Tamil Nadu,9.37917,79.80637,1021,99.03,6.2586,16.708,10.4495,164.34,-0.2248,-0.0846,0.1403,124.1,51.88,0.5146,0.7463,0.04635,1,Black-Top,5.3,1,20.0,0.9592747184135368,0.6589064459098987,0.8724515619084305,0.993372033294486,0.9860869565217389,Road-Driven
52,UT140305,Uttar Pradesh,29.20786,82.86468,3012,99.01,10.0314,20.4679,10.4365,103.01,-0.1694,-0.0629,0.1065,111.2,95.08,0.3807,0.6747,0.0588,1,Black-Top,11.0,1,31.9,0.9507657780017315,0.6410389271293495,1.0,0.961889191443295,0.9365217391304346,Agricultural Growth
53,TA100292,Tamil Nadu,11.21253,77.35404,757,98.99,7.6112,19.0458,11.4346,148.29,-0.2223,-0.1322,0.0901,136.3,92.65,0.2722,0.5242,0.05041,1,Black-Top,6.8,1,18.0,1.0,0.576644389444251,0.926386056737494,0.9850870749125937,0.9730434782608693,NTL-Led (Electrification)
54,JH070077,Jharkhand,24.65441,85.5346,797,98.97,7.1216,16.7109,9.5892,132.78,0.19,0.3672,0.1772,252.4,39.44,0.5263,0.7585,0.04645,1,Black-Top,8.4,1,32.1,0.8782572277466313,0.7611324766930128,0.8737799977416587,0.9762497859719084,0.9591304347826084,Road-Driven
55,GU140167,Gujarat,21.77909,70.85257,1040,98.95,6.8222,17.5224,10.7002,154.58,-0.1363,-0.0157,0.1206,170.6,102.66,0.3177,0.4849,0.03345,1,Black-Top,4.8,1,32.3,0.9806147052243199,0.7094834357380393,0.7010833394219973,0.9961336860884502,0.9904347826086953,Road-Driven
56,UT210512,Uttar Pradesh,28.14707,79.14645,2413,98.93,8.2444,18.8396,10.5953,126.98,-0.0045,0.1718,0.1762,194.4,105.6,0.4882,0.7171,0.04578,1,Black-Top,2.5,0,23.9,0.9678925943314582,0.9151743119397191,0.8648794776590301,1.0,0.488695652173913,Road-Driven
57,HI070074,Himachal Pradesh,32.17643,75.88499,2347,98.91,9.244,20.042,10.798,115.56,0.0112,0.1455,0.1343,206.2,77.17,0.3153,0.5362,0.04419,1,WBM,6.2,1,37.9,0.9847243271198922,0.697714696701251,0.8437573479107021,0.8558417241550724,0.9782608695652172,NTL-Led (Electrification)
58,MA130244,Madhya Pradesh,26.64596,75.67569,1168,98.89,7.2441,18.9756,11.7315,159.74,-0.0267,0.1077,0.1344,157.7,116.5,0.2149,0.3763,0.03227,1,Black-Top,17.7,1,29.7,1.0,0.7917693155620609,0.6854077965899048,0.9248830440041755,0.8782608695652172,NTL-Led (Electrification)
59,TE220166,Telangana,17.69605,79.26823,2597,98.87,7.7367,19.029,11.2923,144.1,0.1474,0.2699,0.1225,215.2,57.44,0.306,0.5091,0.04063,1,Black-Top,5.8,1,24.2,1.0,0.6085438663071244,0.7964650322477795,0.9906103805005217,0.9817391304347824,NTL-Led (Electrification)
60,KA190155,Karnataka,15.83569,75.92001,653,98.85,6.3646,15.2254,8.8608,137.07,-0.2522,-0.1044,0.1478,176.4,138.56,0.5581,0.7831,0.04501,1,Black-Top,17.7,1,27.7,0.8133735643729314,0.8922085944671201,0.8546505217431732,0.9248830440041755,0.8782608695652172,Road-Driven
61,MA210302,Maharashtra,19.62486,75.02303,3516,98.83,10.0329,21.1092,11.0763,109.31,-0.0156,0.1063,0.1219,183.9,85.42,0.552,0.7074,0.03107,1,Black-Top,5.3,1,15.8,1.0,0.6730575207840933,0.6694665665911669,0.993372033294486,0.9860869565217389,NTL-Led (Electrification)
62,MA120221,Madhya Pradesh,23.71745,81.7354,500,98.82,5.8296,15.2565,9.4269,158.98,0.0442,0.2029,0.1587,130.2,63.04,0.5691,0.8384,0.05384,1,Black-Top,17.5,1,37.0,0.8668219923381099,0.7512457829677758,0.9719514058172201,0.9259877051217611,0.8799999999999998,Agricultural Growth
63,AS230066,Assam,24.35524,91.14661,1146,98.8,8.1832,17.747,9.5638,115.46,0.0391,0.1931,0.154,103.7,92.54,0.3511,0.5077,0.03132,1,Black-Top,2.6,1,38.3,0.8739033987824029,0.8047292225175522,0.6727876561742374,1.0,0.9999999999999999,Road-Driven
64,JH250073,Jharkhand,22.89916,85.04331,4186,98.78,7.6447,18.8745,11.2299,145.0,-0.2075,-0.1011,0.1064,142.4,96.27,0.3308,0.4959,0.03302,1,Black-Top,4.7,1,44.9,1.0,0.6435165564002523,0.6953710653391161,0.9966860166472429,0.9913043478260867,NTL-Led (Electrification)
65,MA200089,Maharashtra,19.79601,74.0285,1430,98.76,7.7042,13.6007,5.8965,75.55,-0.0443,0.135,0.1794,170.9,245.57,0.4486,0.7416,0.0586,1,Black-Top,2.1,1,33.9,0.5398682314920917,1.0,1.0,1.0,0.9999999999999999,Construction Boom
66,BI120339,Bihar,25.02602,87.39045,931,98.74,6.1787,12.0382,5.8594,93.32,-0.1966,-0.0354,0.1612,166.4,225.96,0.2261,0.4998,0.05475,1,Black-Top,2.2,1,33.5,0.5386645540041809,1.0,0.9840401718995964,1.0,0.9999999999999999,Construction Boom
67,WE200156,West Bengal,22.83869,87.6108,1293,98.72,8.971,19.6709,10.6999,117.96,-0.283,-0.1327,0.1503,104.8,157.42,0.3424,0.553,0.04212,1,Black-Top,11.2,0,14.8,0.9762040143200857,0.9460732077508819,0.8162587261628791,0.9607845303257092,0.4130434782608695,NTL-Led (Electrification)
68,AN170242,Andhra Pradesh,15.44504,82.91889,1670,98.7,7.7431,16.2799,8.5368,108.84,-0.2265,-0.0788,0.1477,115.5,126.0,0.3186,0.5137,0.03902,1,Black-Top,7.8,1,40.8,0.7809047980829208,0.8619291059736831,0.775077215332806,0.9795637693246653,0.9643478260869564,Road-Driven
69,OD070151,Odisha,20.65352,83.40366,847,98.68,7.4483,18.6513,11.203,148.42,-0.0895,0.0276,0.1172,146.5,117.33,0.5164,0.7028,0.03728,1,WBM,12.9,1,22.2,1.0,0.7322823897020198,0.751962431834636,0.8188355767159531,0.9199999999999999,NTL-Led (Electrification)
70,KA020179,Karnataka,17.7853,75.46427,2591,98.66,7.1296,18.3823,11.2527,155.65,0.0906,0.2013,0.1107,148.7,59.14,0.2061,0.4422,0.04721,1,Black-Top,12.7,1,12.0,1.0,0.5704264929086199,0.8838761100741928,0.9524995719438167,0.9217391304347824,NTL-Led (Electrification)
71,KA150141,Karnataka,14.93634,78.37524,2210,98.64,10.3699,19.5217,9.1518,87.41,0.1891,0.3456,0.1565,129.1,144.49,0.3725,0.5236,0.03022,1,Black-Top,16.7,1,31.0,0.8335553632478083,0.9374253286610962,0.6581748620087275,0.9304063495921038,0.8869565217391303,Construction Boom
72,RA140247,Rajasthan,24.56522,76.40442,1269,98.62,9.9209,17.3502,7.4293,74.14,-0.1942,-0.0179,0.1763,101.0,216.5,0.5427,0.7338,0.03822,1,Black-Top,9.7,1,15.5,0.6773173070608975,1.0,0.7644497286669807,0.9690694887076017,0.9478260869565216,Construction Boom
73,TA240024,Tamil Nadu,10.10736,79.37626,2063,98.6,6.1688,17.9991,11.8304,188.72,-0.1351,-0.0217,0.1133,78.5,98.78,0.4503,0.5691,0.02376,1,Black-Top,2.3,1,30.5,1.0,0.6741533952693003,0.572357907182188,1.0,0.9999999999999999,NTL-Led (Electrification)
74,HA280122,Haryana,29.70143,75.4929,753,98.58,11.9337,21.4619,9.5283,79.18,-0.1293,0.0131,0.1424,167.8,171.86,0.3477,0.4507,0.02059,1,Black-Top,14.8,1,10.5,0.866373082285433,0.9522434575697649,0.5302464912688553,0.9409006302091676,0.9034782608695651,Construction Boom
75,GU180114,Gujarat,24.09211,71.43234,1318,98.56,11.5474,20.8955,9.3481,80.26,0.0511,0.2059,0.1548,166.0,100.21,0.5619,0.8033,0.04827,1,WBM,14.4,1,37.9,0.8503236500821306,0.8258605413953483,0.8979575299064113,0.8105506183340606,0.9069565217391302,Agricultural Growth
76,HI290069,Himachal Pradesh,32.08353,77.92013,1948,98.54,9.6558,20.8123,11.1566,114.36,-0.1542,0.0021,0.1563,137.5,83.0,0.5796,0.7221,0.02851,1,Kutcha,3.7,1,20.8,1.0,0.7902207972677466,0.6354586092605259,0.7370906540146147,0.9999999999999999,NTL-Led (Electrification)
77,UT260001,Uttar Pradesh,25.47778,80.21934,4526,98.52,10.1969,18.3114,8.1145,78.81,-0.2909,-0.1675,0.1235,136.3,177.59,0.5536,0.775,0.04427,1,WBM,4.0,1,28.2,0.7393949833319987,0.8983550209276291,0.8448200965772845,0.8679929964485146,0.9973913043478259,Construction Boom
78,UT090532,Uttar Pradesh,26.03903,78.48742,2803,98.5,7.3794,19.327,11.9476,159.74,0.1016,0.2693,0.1677,283.9,60.2,0.2975,0.4611,0.03272,1,WBM,16.1,1,34.2,1.0,0.7766414829945293,0.6913857578394316,0.8011609988345826,0.8921739130434782,NTL-Led (Electrification)
79,KA260162,Karnataka,13.21358,74.04026,1078,98.49,7.4813,18.8461,11.3648,149.91,-0.1155,-0.0146,0.1009,138.4,45.28,0.3639,0.6315,0.05351,1,WBM,3.1,1,14.8,1.0,0.5023869813922894,0.967567567567567,0.8729639714776499,0.9999999999999999,NTL-Led (Electrification)
80,PU010059,Punjab,29.6539,76.02587,758,98.47,9.7531,20.4784,10.7253,108.85,-0.1491,-0.0549,0.0941,135.1,79.54,0.4055,0.624,0.0437,1,Black-Top,7.4,1,31.2,0.9773939252330479,0.5597059816402906,0.837248012327884,0.9817730915598366,0.9678260869565216,Road-Driven
81,BI150079,Bihar,25.50935,87.36511,1005,98.45,7.1279,15.0058,7.8779,108.99,0.044,0.2066,0.1626,134.4,133.64,0.4274,0.5928,0.03309,1,Black-Top,5.5,1,15.8,0.7217653877432739,0.933375357737505,0.6963009704223759,0.9922673721769004,0.9843478260869563,Road-Driven
82,BI040304,Bihar,24.81266,87.16412,2578,98.43,8.3292,18.4216,10.0923,119.73,0.0556,0.1766,0.121,241.5,45.44,0.6174,0.8808,0.05268,1,Black-Top,10.1,1,35.7,0.9218643502636595,0.5745955806240813,0.9565415501517733,0.9668601664724303,0.9443478260869562,Road-Driven
83,CH090122,Chhattisgarh,18.94201,81.81748,3871,98.41,7.8683,18.625,10.7567,134.99,-0.2256,-0.1234,0.1021,140.1,75.67,0.2969,0.4793,0.03648,1,Black-Top,4.2,1,19.4,0.9833422827043845,0.5790743719984056,0.7413349451688106,0.9994476694412071,0.9956521739130432,Road-Driven
84,BI020038,Bihar,24.507,85.51784,2498,98.39,8.3415,16.813,8.4715,100.36,0.1599,0.3301,0.1702,298.0,67.05,0.2624,0.4957,0.04668,1,Black-Top,10.5,1,40.2,0.7740268975291749,0.8018942428710385,0.8768354001580834,0.964650844237259,0.9408695652173911,Road-Driven
85,RA100022,Rajasthan,29.44318,73.15113,667,98.37,10.2118,21.0647,10.8529,105.25,0.1036,0.2152,0.1116,123.3,78.03,0.6223,0.7724,0.03,1,Black-Top,3.0,1,22.4,0.9884191561267911,0.6186449702577281,0.6552523031756256,1.0,0.9999999999999999,Road-Driven
86,MA230199,Maharashtra,21.76485,76.8444,1446,98.35,10.196,20.5559,10.3599,100.62,0.1298,0.2682,0.1384,141.8,146.45,0.4816,0.6086,0.02541,1,WBM,14.7,1,34.8,0.9436023706544829,0.8774142889168256,0.5942770984304528,0.808893626657682,0.9043478260869563,NTL-Led (Electrification)
87,MA170390,Madhya Pradesh,25.47101,75.42113,743,98.33,7.8681,17.3166,9.4486,118.58,-0.2301,-0.1303,0.0998,114.0,110.62,0.4326,0.7303,0.05955,1,Black-Top,15.6,1,43.7,0.8639340043325557,0.6541179508767114,1.0,0.9364819857388249,0.8965217391304346,Agricultural Growth
